2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - commons-collections-3.1.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - dom4j-1.6.1.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - jta-1.1.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-annotations-3.5.6-Final.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-commons-annotations-3.2.0.Final.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-core-3.5.6-Final.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - hibernate-jpa-2.0-api-1.0.0.Final.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - slf4j-api-1.5.8.jar already exists in destination.
2014-04-11 15:30:07,413 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - xml-apis-1.0.b2.jar already exists in destination.
2014-04-11 15:30:07,569 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.broscode.wsv:de.broscode.wsv.database:0.0.1-SNAPSHOT @ D:\Develop\workspace\de.broscode.sescon.database\pom.xml.
2014-04-11 15:30:07,663 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,663 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-04-11 15:30:07,663 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-04-11 15:30:07,663 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-04-11 15:30:08,318 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
